epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.53,1.47473,4.45054,1.75311,0.00285,0.78571,0.03231,0.01276,1.45392,4.47656,1.93863,5.001e-05,5.001e-05,5.001e-05
2,13.583,1.71209,4.50254,1.93004,0.38404,0.21429,0.14196,0.0614,1.91496,9.641,2.58852,0.00011592,0.00011592,0.00011592
3,18.9832,1.063,2.69373,1.50928,0.42271,0.28571,0.3062,0.21168,1.49803,5.70781,2.43406,0.00018095,0.00018095,0.00018095
4,23.1054,0.84892,1.77669,1.28102,0.59215,0.35714,0.35812,0.24436,1.87074,5.40161,1.89815,0.000245099,0.000245099,0.000245099
5,31.0904,1.02099,1.83995,1.3548,0.1058,0.42857,0.08357,0.02884,1.87313,12.4539,2.12025,0.000308368,0.000308368,0.000308368
6,33.9848,0.87854,1.73248,1.35752,0.41929,0.71429,0.3291,0.20674,1.13739,5.98344,1.58181,0.000370757,0.000370757,0.000370757
7,37.1643,0.89983,1.34253,1.33878,0.05109,0.5,0.04756,0.0249,1.09227,63.6712,1.65234,0.000432266,0.000432266,0.000432266
8,40.8776,1.12777,1.48095,1.50692,0.03763,0.5,0.03715,0.02112,1.58526,86.4164,2.55194,0.000492895,0.000492895,0.000492895
9,43.7789,1.02325,1.31884,1.3265,0.01119,0.42857,0.01826,0.008,1.90486,208.269,2.90238,0.000552644,0.000552644,0.000552644
10,46.8108,1.13441,1.42953,1.43953,0.21429,0.64286,0.32829,0.13674,2.00975,32.5443,2.65947,0.000611512,0.000611512,0.000611512
11,49.6512,1.08784,1.23926,1.43116,0.2093,0.64286,0.1882,0.06794,1.8119,28.4758,3.12254,0.000669501,0.000669501,0.000669501
12,53.4694,1.18401,1.36825,1.55169,0.25,0.71429,0.25809,0.14598,1.40065,26.2082,2.43877,0.000726609,0.000726609,0.000726609
13,57.018,0.97286,1.20383,1.42686,0.08046,0.5,0.1489,0.07534,1.67263,58.6062,2.53077,0.000782837,0.000782837,0.000782837
14,59.9714,1.08553,1.15787,1.41361,0.05882,0.42857,0.14245,0.0828,1.68601,71.3337,2.17361,0.000838184,0.000838184,0.000838184
15,62.8723,1.07255,1.52997,1.40646,0.00426,0.5,0.00325,0.00181,2.45399,inf,6.90877,0.000892652,0.000892652,0.000892652
16,65.707,1.03311,1.12086,1.41261,0.00384,0.42857,0.00601,0.00451,2.42548,inf,4.96825,0.000946239,0.000946239,0.000946239
17,69.0785,1.13483,1.36471,1.457,0.0375,0.21429,0.02341,0.0138,2.4812,77.5336,4.23641,0.000998946,0.000998946,0.000998946
18,72.5279,1.05427,1.20499,1.31752,0.0375,0.21429,0.02341,0.0138,5.92287,2249.22,11.1224,0.00105077,0.00105077,0.00105077
19,75.4492,1.25654,1.26392,1.57998,0.01993,0.21429,0.00732,0.00263,3.02691,72.9269,3.84458,0.00110172,0.00110172,0.00110172
20,78.3109,0.93935,1.08301,1.34183,0.0054,0.28571,0.003,0.00064,3.62448,350.88,20.0286,0.00115179,0.00115179,0.00115179
21,81.2651,1.19125,1.28381,1.4965,0.00076,0.14286,0.00066,0.00035,3.01771,inf,147.125,0.00120097,0.00120097,0.00120097
22,84.528,1.14321,1.36135,1.49318,0.00738,0.35714,0.0049,0.00168,3.11341,inf,707.314,0.00124928,0.00124928,0.00124928
23,88.1861,1.03675,1.23403,1.47198,0.00617,0.28571,0.0037,0.0006,5.15139,inf,640.359,0.00129671,0.00129671,0.00129671
24,91.1458,1.09327,1.25548,1.51591,0.00513,0.21429,0.00235,0.00079,4.68592,inf,167.773,0.00134325,0.00134325,0.00134325
25,94.0297,1.1959,1.08653,1.58487,0.01419,0.28571,0.00713,0.00175,4.15442,1301.49,35.9893,0.00138892,0.00138892,0.00138892
26,96.893,1.0724,1.12909,1.38793,0.00306,0.28571,0.00268,0.00046,4.8883,inf,98.5646,0.00139195,0.00139195,0.00139195
27,101.279,1.1402,1.17489,1.48288,0.00106,0.07143,0.00039,0.00015,4.142,827.834,18.1326,0.00138094,0.00138094,0.00138094
28,104.787,0.96018,1.04756,1.46735,0.00394,0.28571,0.0026,0.00121,2.81274,418.278,6.44944,0.00136994,0.00136994,0.00136994
29,107.706,1.16698,1.11656,1.48607,0.05098,0.28571,0.06648,0.04708,2.303,17.9644,3.85727,0.00135894,0.00135894,0.00135894
30,111.126,1.17118,1.20425,1.60274,0.31677,0.42857,0.37466,0.2608,2.1471,7.69001,2.58344,0.00134794,0.00134794,0.00134794
31,115.844,1.07384,1.225,1.42213,0.10955,0.42857,0.07104,0.03439,2.31071,19.6211,3.22273,0.00133693,0.00133693,0.00133693
32,119.481,1.03153,1.04948,1.39196,0.06977,0.21429,0.06409,0.0209,2.43926,40.656,5.79263,0.00132593,0.00132593,0.00132593
33,122.647,0.9996,1.05395,1.3247,0.12195,0.35714,0.07455,0.02106,2.47418,33.1828,5.22504,0.00131493,0.00131493,0.00131493
34,125.613,1.11387,1.14233,1.42518,0.14596,0.71429,0.11764,0.05263,2.12749,16.9952,2.83817,0.00130393,0.00130393,0.00130393
35,128.571,1.10891,0.98704,1.50348,0.28758,0.54844,0.32486,0.16965,1.70687,8.13086,2.2482,0.00129293,0.00129293,0.00129293
36,134.062,1.08832,1.01898,1.42205,0.28291,0.5,0.3729,0.22849,1.80763,6.38367,2.5272,0.00128192,0.00128192,0.00128192
37,137.347,1.08553,0.99069,1.39454,0.70146,0.64286,0.6289,0.37782,1.46337,5.19115,2.0082,0.00127092,0.00127092,0.00127092
38,140.799,0.93862,0.91684,1.37844,0.49426,0.57143,0.55248,0.26048,1.78017,5.99514,2.54964,0.00125992,0.00125992,0.00125992
39,143.947,1.02291,0.93352,1.28377,0.45924,0.5,0.48179,0.31836,1.78698,7.26578,2.56021,0.00124892,0.00124892,0.00124892
40,147.206,0.94658,0.95468,1.35305,0.34541,0.42857,0.39235,0.24424,1.85642,8.03766,2.52466,0.00123791,0.00123791,0.00123791
41,150.934,1.14164,0.99676,1.53487,0.47345,0.5,0.54331,0.26682,1.79712,5.8761,2.54889,0.00122691,0.00122691,0.00122691
42,153.939,0.95225,0.993,1.35799,0.22618,0.35714,0.28607,0.16441,1.79156,5.50713,2.59972,0.00121591,0.00121591,0.00121591
43,157.061,1.02595,1.0335,1.38231,0.3375,0.64286,0.47872,0.26267,1.64809,4.79566,2.26159,0.00120491,0.00120491,0.00120491
44,160.043,0.94459,1.03282,1.29304,0.57936,0.64286,0.57664,0.30795,1.81915,5.28778,2.1441,0.00119391,0.00119391,0.00119391
45,163.441,0.90346,0.94511,1.28711,0.37811,0.6088,0.36029,0.17747,1.90717,5.48387,2.38177,0.0011829,0.0011829,0.0011829
46,167.199,0.88052,0.8731,1.21601,0.41634,0.71336,0.44566,0.25113,1.92488,4.21363,2.44312,0.0011719,0.0011719,0.0011719
47,170.388,0.9714,0.91216,1.32593,0.40016,0.57143,0.37826,0.19263,2.22959,3.80449,3.2625,0.0011609,0.0011609,0.0011609
48,173.432,0.9061,0.85009,1.36062,0.37539,0.64397,0.54332,0.2748,2.01051,3.40465,3.10988,0.0011499,0.0011499,0.0011499
49,178.778,0.98322,1.02248,1.34415,0.78633,0.71429,0.82808,0.40927,1.59361,2.59608,2.61566,0.00113889,0.00113889,0.00113889
50,183.933,0.98775,0.8001,1.27925,0.62267,0.82604,0.7462,0.41157,1.49467,2.03503,2.17996,0.00112789,0.00112789,0.00112789
51,187.039,1.03361,0.85884,1.39779,0.64068,0.71429,0.65405,0.29888,1.69554,2.07871,2.03225,0.00111689,0.00111689,0.00111689
52,190.101,1.07917,1.0188,1.4254,0.83641,0.78571,0.85434,0.50826,1.50037,1.43773,1.92232,0.00110589,0.00110589,0.00110589
53,197.631,0.92582,0.94573,1.28821,0.85156,0.78571,0.89772,0.54948,1.29184,1.63088,1.68554,0.00109489,0.00109489,0.00109489
54,204.028,0.92994,0.86615,1.31851,0.57115,0.78571,0.62527,0.36757,1.37556,2.69307,2.01242,0.00108388,0.00108388,0.00108388
55,207.858,0.86373,0.80467,1.36343,0.81881,0.78571,0.80997,0.45768,1.37501,2.10357,1.96169,0.00107288,0.00107288,0.00107288
56,213.33,0.87614,0.87962,1.27209,0.54222,0.93071,0.77366,0.51831,1.30962,2.04816,1.76986,0.00106188,0.00106188,0.00106188
57,216.45,1.07311,0.90152,1.45197,0.62396,0.71429,0.60609,0.40739,1.42236,2.27824,1.77078,0.00105088,0.00105088,0.00105088
58,219.628,0.76492,0.82771,1.20425,0.22613,0.35714,0.21424,0.13307,1.6968,3.54364,1.95107,0.00103987,0.00103987,0.00103987
59,225.891,0.99276,0.90064,1.32855,0.39441,0.64286,0.42236,0.28286,1.46488,2.73541,1.77447,0.00102887,0.00102887,0.00102887
60,229.225,0.91929,0.77929,1.27828,0.73001,0.78571,0.72623,0.45063,1.27369,2.21434,1.64619,0.00101787,0.00101787,0.00101787
61,232.436,0.81188,0.7681,1.29328,0.59761,0.92857,0.66986,0.45269,1.29161,1.57723,1.78094,0.00100687,0.00100687,0.00100687
62,237.563,0.84195,0.75237,1.21802,0.6399,0.92857,0.66315,0.44826,1.24184,1.27423,1.65199,0.000995866,0.000995866,0.000995866
63,240.689,0.87149,0.91458,1.34437,0.78303,0.77407,0.75458,0.51685,1.10227,1.26662,1.54923,0.000984864,0.000984864,0.000984864
64,243.778,0.86459,0.81185,1.278,0.83179,0.78571,0.86006,0.62253,1.07041,1.09036,1.60622,0.000973861,0.000973861,0.000973861
65,255.891,0.99143,0.77925,1.34213,0.76331,1,0.92711,0.59788,1.12285,1.13875,1.68021,0.000962859,0.000962859,0.000962859
66,259.205,0.89008,0.71859,1.27598,0.85454,0.84022,0.89976,0.5643,1.29225,1.09538,1.68242,0.000951857,0.000951857,0.000951857
67,262.909,0.73235,0.63651,1.2818,0.91753,0.92857,0.95944,0.53281,1.48824,1.00923,1.8053,0.000940855,0.000940855,0.000940855
68,267.788,0.88437,0.74762,1.28809,0.92657,0.90257,0.92085,0.51852,1.55831,0.8726,1.9017,0.000929853,0.000929853,0.000929853
69,270.905,0.8346,0.73832,1.20762,0.92932,0.85714,0.93052,0.56273,1.50853,0.81583,1.86035,0.00091885,0.00091885,0.00091885
70,274.214,0.84091,0.71669,1.24535,0.85921,0.92857,0.87521,0.54651,1.4346,0.81006,1.80253,0.000907848,0.000907848,0.000907848
71,281.237,0.8779,0.8422,1.2243,0.81082,0.91896,0.85441,0.54051,1.39165,0.85673,1.73885,0.000896846,0.000896846,0.000896846
72,284.656,0.7919,0.73759,1.18184,1,0.96087,0.995,0.59456,1.42099,0.70995,1.82929,0.000885844,0.000885844,0.000885844
73,292.438,0.89226,0.72956,1.22943,0.92666,0.92857,0.96158,0.57743,1.35592,0.84348,1.78357,0.000874842,0.000874842,0.000874842
74,295.476,0.79101,0.71417,1.24836,0.91941,0.81623,0.90433,0.58102,1.33773,0.89259,1.77011,0.000863839,0.000863839,0.000863839
75,298.684,0.83686,0.70239,1.25268,0.79746,0.85714,0.91561,0.59402,1.19201,0.98335,1.52197,0.000852837,0.000852837,0.000852837
76,304.147,0.77966,0.6619,1.20209,0.85738,0.92857,0.89063,0.56205,1.21425,0.99386,1.55403,0.000841835,0.000841835,0.000841835
77,307.613,0.77026,0.62797,1.21839,0.85504,0.92857,0.89062,0.54522,1.18962,1.05228,1.52937,0.000830833,0.000830833,0.000830833
78,310.678,0.74229,0.64189,1.15959,0.78281,0.92857,0.87318,0.53141,1.28394,1.01298,1.62345,0.000819831,0.000819831,0.000819831
79,316.137,0.74317,0.69031,1.1559,0.97861,0.92857,0.95563,0.52664,1.49532,1.00458,1.86056,0.000808828,0.000808828,0.000808828
80,319.197,0.8727,0.678,1.3217,0.92477,0.87909,0.92115,0.5539,1.4472,0.85789,1.85025,0.000797826,0.000797826,0.000797826
81,322.319,0.75766,0.66514,1.15392,0.98159,0.85714,0.96632,0.59263,1.29809,0.77906,1.65254,0.000786824,0.000786824,0.000786824
82,327.961,0.93743,0.7784,1.22733,0.85876,1,0.9775,0.60331,1.3938,0.72569,1.69678,0.000775822,0.000775822,0.000775822
83,331.264,0.87313,0.71588,1.28635,0.90186,1,0.98567,0.60009,1.48119,0.70265,1.81545,0.00076482,0.00076482,0.00076482
84,334.28,0.76972,0.72249,1.19677,1,0.99799,0.995,0.59116,1.42881,0.72301,1.75648,0.000753817,0.000753817,0.000753817
85,340.688,0.71325,0.62843,1.20127,0.99115,0.92857,0.98625,0.59176,1.42106,0.76497,1.77046,0.000742815,0.000742815,0.000742815
86,344.638,0.76754,0.64098,1.23991,0.96322,0.85714,0.96233,0.57268,1.49304,0.81396,1.93715,0.000731813,0.000731813,0.000731813
87,347.717,0.7045,0.60188,1.15233,0.75484,0.92857,0.91244,0.52352,1.50172,0.87374,1.94134,0.000720811,0.000720811,0.000720811
